sub_basin_number,sub_basin_name,acres,sq_miles,priority,phase
9-005,Temecula Valley,87752.6,137.1,Very Low,1
9-006,Cahuilla Valley,18201.6,28.4,Very Low,1
9-007.01,Upper San Luis Rey Valley,19254.35,30.08,Medium,2
9-007.02,Lower San Luis Rey Valley,10411.92,16.27,Very Low,2
9-008,Warner Valley,23963.5,37.4,Very Low,1
9-009,Escondido Valley,2886.9,4.5,Very Low,1
9-010,San Pasqual Valley,3498.4,5.5,Medium,1
9-011,Santa Maria Valley,12289.9,19.2,Very Low,1
9-012,San Dieguito Creek,3547.9,5.5,Very Low,1
9-013,Poway Valley,2467.9,3.9,Very Low,1
9-014,Mission Valley,7302.5,11.4,Very Low,1
9-015,San Diego River Valley,9873.37,15.43,Very Low,2
9-016,El Cajon Valley,7152.1,11.2,Very Low,1
9-022,Batiquitos Lagoon Valley,740.8,1.2,Very Low,1
9-023,San Elijo Valley,882.3,1.4,Very Low,1
9-024,Pamo Valley,1502.5,2.3,Very Low,1
9-025,Ranchita Town Area,3119.9,4.9,Very Low,1
9-027,Cottonwood Valley,3838.5,6,Very Low,1
9-028,Campo Valley,3538.5,5.5,Very Low,1
9-029,Potrero Valley,2018.9,3.2,Very Low,1
9-032,San Marcos Area,2129.8,3.3,Very Low,1
9-033,Coastal Plain of San Diego,54980.89,85.91,Low,2
